,,,,,,,,,
int,varchar,room_type,float[2],bool,bool,varchar[],varchar,varchar[],int
floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
2000,2603.01,Office,,,,,Academy,,
2000,2603.02,Office,,,,,Academy,,
2000,2603.03,Office,,,,,Academy,,
2000,2604,Office,,,,,Academy,,
2000,2005,Stairs,,,,,Academy,,
2000,2722,Office,,,,,Academy,,
2000,2724,Office,,,,,Academy,,
2000,2721,Office,,,,,Academy,,
2000,2719,Office,,,,,Academy,,
2000,2710.01,Office,,,,,Academy,,
2000,2710.02,Office,,,,,Academy,,
2000,2717,Office,,,,,Academy,,
2000,2715,Office,,,,,Academy,,
2000,2713,Office,,,,,Academy,,
2000,2711,Office,,,,,Academy,,
2000,2710.03,Office,,,,,Academy,,
3000,3111,Office,,,,,Academy,,
3000,3112,Office,,,,,Academy,,
3000,3113,Office,,,,,Academy,,
3000,3114,Office,,,,,Academy,,
3000,3115,Office,,,,,Academy,,
3000,3116,Office,,,,,Academy,,
3000,3117,Office,,,,,Academy,,
3000,3118,Office,,,,,Academy,,
3000,3119,Office,,,,,Academy,,
3000,3121,Office,,,,,Academy,,
3000,3123,Office,,,,,Academy,,
3000,3110,Office,,,,,Academy,,
3000,3122,Office,,,,,Academy,,
3000,3116A,Office,,,,,Academy,,
3000,3124,Office,,,,,Academy,,
3000,3001,Stairs,,,,,Academy,,
3000,3100A,,,,,,Academy,,
3000,3100.01,,,,,,Academy,,
3000,3100.02,Office,,,,,Academy,,
3000,3200,Office,,,,,Academy,,
3000,3211,Office,,,,,Academy,,
3000,3212,Office,,,,,Academy,,
3000,3213,Office,,,,,Academy,,
3000,3214,Office,,,,,Academy,,
3000,3213A,Office,,,,,Academy,,
3000,3215,Office,,,,,Academy,,
3000,3217,Office,,,,,Academy,,
3000,3218,Bathroom(N),,,,,Academy,,
3000,3219,Office,,,,,Academy,,
3000,3220,Office,,,,,Academy,,
3000,3228,Office,,,,,Academy,,
3000,3230,Office,,,,,Academy,,
3000,3221,Office,,,,,Academy,,
3000,3222,Office,,,,,Academy,,
3000,3223,Office,,,,,Academy,,
3000,3224,Office,,,,,Academy,,
3000,3225,Office,,,,,Academy,,
3000,3226,Office,,,,,Academy,,
3000,3227,Office,,,,,Academy,,
3000,3226A,Office,,,,,Academy,,
3000,3232,Office,,,,,Academy,,
3000,3233,Office,,,,,Academy,,
3000,3231,Office,,,,,Academy,,
3000,3238,Office,,,,,Academy,,
3000,3236,,,,,,Academy,,
3000,3003,Stairs,,,,,Academy,,
3000,3000,Hallway,,,,,Academy,,
3000,3311,Bathroom(N),,,,,Academy,,
3000,3313,Bathroom(N),,,,,Academy,,
3000,3315,Bathroom(N),,,,,Academy,,
3000,3-E,Elevator,,,,,Academy,,
3000,3002,Stairs,,,,,Academy,,
3000,3300,Hallway,,,,,Academy,,
3000,3514,Bathroom(W),,,,,Academy,,
3000,3518,Bathroom(M),,,,,Academy,,
3000,3500,,,,,,Academy,,
3000,3511,,,,,,Academy,,
3000,3515,,,,,,Academy,,
3000,3519A,Elevator,,,,,Academy,,
3000,3519,,,,,,Academy,,
3000,3004,Stairs,,,,,Academy,,
3000,3631,,,,,,Academy,,
3000,3636,,,,,,Academy,,
3000,3638,,,,,,Academy,,
3000,3627,,,,,,Academy,,
3000,3600.01,,,,,,Academy,,
