floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
100,131,Office,"{0,0}",,,,Ricketts,
100,132,Office,"{0,0}",,,,Ricketts,
100,133,Office,"{0,0}",,,,Ricketts,
100,134,Office,"{0,0}",,,,Ricketts,
100,135,Office,"{0,0}",,,,Ricketts,
100,136,Office,"{0,0}",,,,Ricketts,
100,137A,Bathroom(W),"{0,0}",,,,Ricketts,
200,200,Stairs,"{0,0}",,,,Ricketts,
200,2-E,Elevator,"{0,0}",,,,Ricketts,
200,201,Office,"{0,0}",,,,Ricketts,
200,202A,Office,"{0,0}",,,,Ricketts,
200,202B,Office,"{0,0}",,,,Ricketts,
200,202C,Office,"{0,0}",,,,Ricketts,
200,202D,Office,"{0,0}",,,,Ricketts,
200,203,,"{0,0}",,,,Ricketts,
200,204.01,Office,"{0,0}",,,,Ricketts,
200,204.02,Office,"{0,0}",,,,Ricketts,
200,204A,Office,"{0,0}",,,,Ricketts,
200,205,Office,"{0,0}",,,,Ricketts,
200,205A,Office,"{0,0}",,,,Ricketts,
200,206,,"{0,0}",,,,Ricketts,
200,207,Office,"{0,0}",,,,Ricketts,
200,208,,"{0,0}",,,,Ricketts,
200,209,Office,"{0,0}",,,,Ricketts,
200,209A,Office,"{0,0}",,,,Ricketts,
200,209C,,"{0,0}",,,,Ricketts,
200,210,Office,"{0,0}",,,,Ricketts,
200,209B,,"{0,0}",,,,Ricketts,
200,207A,,"{0,0}",,,,Ricketts,
200,202,,"{0,0}",,,,Ricketts,
200,202E,,"{0,0}",,,,Ricketts,
200,210A,Stairs,"{0,0}",,,,Ricketts,
200,211,,"{0,0}",,,,Ricketts,
200,212,,"{0,0}",,,,Ricketts,
200,213A,,"{0,0}",,,,Ricketts,
200,213,Bathroom(W),"{0,0}",,,,Ricketts,
200,200,Stairs,"{0,0}",,,,Ricketts,
200,200B,Hallway,"{0,0}",,,,Ricketts,
200,200A,Hallway,"{0,0}",,,,Ricketts,
300,300,Stairs,"{0,0}",,,,Ricketts,
300,3-E,Elevator,"{0,0}",,,,Ricketts,
300,301,Lab,"{0,0}",,,,Ricketts,
300,302,Lab,"{0,0}",,,,Ricketts,
300,303,Lab,"{0,0}",,,,Ricketts,
300,301A,Closet,"{0,0}",,,,Ricketts,
300,303A,Lab,"{0,0}",,,,Ricketts,
300,304B,Lab,"{0,0}",,,,Ricketts,
300,304A,Lab,"{0,0}",,,,Ricketts,
300,304,Lab,"{0,0}",,,,Ricketts,
300,305,Lab,"{0,0}",,,,Ricketts,
300,306,Lab,"{0,0}",,,,Ricketts,
300,307,Lab,"{0,0}",,,,Ricketts,
300,307A,Closet,"{0,0}",,,,Ricketts,
300,308,Lab,"{0,0}",,,,Ricketts,
300,309,Lab,"{0,0}",,,,Ricketts,
300,310A,Closet,"{0,0}",,,,Ricketts,
300,310,Lab,"{0,0}",,,,Ricketts,
300,311,Lab,"{0,0}",,,,Ricketts,
300,312,Lab,"{0,0}",,,,Ricketts,
300,313A,Lab,"{0,0}",,,,Ricketts,
300,313,Lab,"{0,0}",,,,Ricketts,
300,314,Stairs,"{0,0}",,,,Ricketts,
300,315,Lab,"{0,0}",,,,Ricketts,
300,316A,,"{0,0}",,,,Ricketts,
300,316,Lab,"{0,0}",,,,Ricketts,
300,317,Lab,"{0,0}",,,,Ricketts,
300,300A,Hallway,"{0,0}",,,,Ricketts,
300,300B,Hallway,"{0,0}",,,,Ricketts,
400,,,"{0,0}",,,,Ricketts,
400,4-E,Elevator,"{0,0}",,,,Ricketts,
400,400,Stairs,"{0,0}",,,,Ricketts,
400,400A,Hallway,"{0,0}",,,,Ricketts,
400,400B,Hallway,"{0,0}",,,,Ricketts,
400,400C,Hallway,"{0,0}",,,,Ricketts,
400,400D,Stairs,"{0,0}",,,,Ricketts,
400,401,Lab,"{0,0}",,,,Ricketts,
400,401A,Bathroom,"{0,0}",,,,Ricketts,
400,401B,Lab,"{0,0}",,,,Ricketts,
400,401C,Lounge,"{0,0}",,,,Ricketts,
400,401D,Office,"{0,0}",,,,Ricketts,
